condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,328-684,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.8808093145139537e-06,1.9064312652972148e-06,2.5425433562986655e-06,0,0,1491,4803,2904,List_2_stim_3/male_3/freq_bins/328-684,List_2_stim_3/male_3/freq_bins/328-684
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,715-1317,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.8968613915149035e-06,1.8958657648227017e-06,2.6893565987506918e-06,0,0,1551,5095,3124,List_2_stim_3/male_3/freq_bins/715-1317,List_2_stim_3/male_3/freq_bins/715-1317
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,1369-2390,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.8996523820646871e-06,1.9004538387434877e-06,2.4723479370436507e-06,0,0,1644,5004,3200,List_2_stim_3/male_3/freq_bins/1369-2390,List_2_stim_3/male_3/freq_bins/1369-2390
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,2478-4207,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.8907753798202975e-06,1.9055388094102454e-06,2.29379477900693e-06,0,0,1644,4939,3076,List_2_stim_3/male_3/freq_bins/2478-4207,List_2_stim_3/male_3/freq_bins/2478-4207
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,4356-7285,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.906851828437084e-06,1.9069852044140134e-06,2.51780607385399e-06,0,0,1829,4520,3114,List_2_stim_3/male_3/freq_bins/4356-7285,List_2_stim_3/male_3/freq_bins/4356-7285
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,7537-12498,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.906558672715164e-06,1.8845761502461755e-06,2.267578324222086e-06,0,0,1602,4751,2980,List_2_stim_3/male_3/freq_bins/7537-12498,List_2_stim_3/male_3/freq_bins/7537-12498
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,12924-21328,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.8480960974898153e-06,1.8481540493553439e-06,2.1347924601400337e-06,0,0,1135,5108,3265,List_2_stim_3/male_3/freq_bins/12924-21328,List_2_stim_3/male_3/freq_bins/12924-21328
diotic,4,trigger1,male_4,List_1_stim_4,attend,100-310,failed_numeric_check,30200,30200,30200,30200,same_length,1.8950595119804348e-06,1.89586273080522e-06,2.1742961422432927e-06,0,0,1286,5143,2573,List_1_stim_4/male_4/freq_bins/100-310,List_1_stim_4/male_4/freq_bins/100-310
diotic,4,trigger1,male_4,List_1_stim_4,attend,328-684,failed_numeric_check,30200,30200,30200,30200,same_length,1.8562824948276102e-06,1.9017778498664484e-06,2.5137697718946583e-06,0,0,1297,5125,2781,List_1_stim_4/male_4/freq_bins/328-684,List_1_stim_4/male_4/freq_bins/328-684
diotic,4,trigger1,male_4,List_1_stim_4,attend,715-1317,failed_numeric_check,30200,30200,30200,30200,same_length,1.9048060551085655e-06,1.9026891919793343e-06,2.292237269330144e-06,0,0,1205,5452,2981,List_1_stim_4/male_4/freq_bins/715-1317,List_1_stim_4/male_4/freq_bins/715-1317
diotic,4,trigger1,male_4,List_1_stim_4,attend,1369-2390,failed_numeric_check,30200,30200,30200,30200,same_length,1.8964270864785249e-06,1.9050269912668227e-06,2.3612603285982914e-06,0,0,1227,5530,2850,List_1_stim_4/male_4/freq_bins/1369-2390,List_1_stim_4/male_4/freq_bins/1369-2390
diotic,4,trigger1,male_4,List_1_stim_4,attend,2478-4207,failed_numeric_check,30200,30200,30200,30200,same_length,1.9048208343974693e-06,1.894763158816204e-06,2.1473160956020365e-06,0,0,1411,5397,2863,List_1_stim_4/male_4/freq_bins/2478-4207,List_1_stim_4/male_4/freq_bins/2478-4207
diotic,4,trigger1,male_4,List_1_stim_4,attend,4356-7285,failed_numeric_check,30200,30200,30200,30200,same_length,1.905829414283744e-06,2.097274290235873e-06,2.7513552254276874e-06,0,0,1681,4635,2977,List_1_stim_4/male_4/freq_bins/4356-7285,List_1_stim_4/male_4/freq_bins/4356-7285
diotic,4,trigger1,male_4,List_1_stim_4,attend,7537-12498,failed_numeric_check,30200,30200,30200,30200,same_length,1.9070255490305499e-06,1.9056576050502372e-06,2.712929763504235e-06,0,0,1342,5104,2736,List_1_stim_4/male_4/freq_bins/7537-12498,List_1_stim_4/male_4/freq_bins/7537-12498
diotic,4,trigger1,male_4,List_1_stim_4,attend,12924-21328,failed_numeric_check,30200,30200,30200,30200,same_length,1.7049339078312187e-06,1.9034714924259788e-06,2.079131398602385e-06,0,0,852,5456,3110,List_1_stim_4/male_4/freq_bins/12924-21328,List_1_stim_4/male_4/freq_bins/12924-21328
diotic,4,trigger1,female_4,List_1_stim_4,ignore,100-310,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.8890126440851418e-06,1.9059126259435288e-06,1.951015633494535e-06,0,0,1672,4706,3014,List_1_stim_4/female_4/freq_bins/100-310,List_1_stim_4/female_4/freq_bins/100-310
diotic,4,trigger1,female_4,List_1_stim_4,ignore,328-684,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.9069570242891132e-06,1.9020162866922874e-06,2.188517214563035e-06,0,0,1559,4937,3159,List_1_stim_4/female_4/freq_bins/328-684,List_1_stim_4/female_4/freq_bins/328-684
diotic,4,trigger1,female_4,List_1_stim_4,ignore,715-1317,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.8970300388332362e-06,1.8894866258278853e-06,2.4914860787816906e-06,0,0,1702,4881,3169,List_1_stim_4/female_4/freq_bins/715-1317,List_1_stim_4/female_4/freq_bins/715-1317
diotic,4,trigger1,female_4,List_1_stim_4,ignore,1369-2390,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.93908476830984e-06,1.9063709473243762e-06,2.277178133169855e-06,0,0,1745,4560,3183,List_1_stim_4/female_4/freq_bins/1369-2390,List_1_stim_4/female_4/freq_bins/1369-2390
diotic,4,trigger1,female_4,List_1_stim_4,ignore,2478-4207,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.8953072427052575e-06,1.8981764355885389e-06,2.694198990127461e-06,0,0,1839,4271,3332,List_1_stim_4/female_4/freq_bins/2478-4207,List_1_stim_4/female_4/freq_bins/2478-4207
diotic,4,trigger1,female_4,List_1_stim_4,ignore,4356-7285,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,3.106942514818911e-06,3.527807223235868e-06,3.1657897210379815e-06,0,0,1544,4335,3344,List_1_stim_4/female_4/freq_bins/4356-7285,List_1_stim_4/female_4/freq_bins/4356-7285
